,caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
3570,1972-090,1972-090-01,1972-090-01-01,1972-090-01-01-01,4/2/1973,6,411 U.S. 213,93 S. Ct. 1461,36 L. Ed. 2d 169,1973 U.S. LEXIS 86,1972,1504,Burger,71-6757,FONTAINE v. UNITED STATES,2/28/1973,,126,,27,,1,,,0,,,26,,0,12,2,1,1,5,0,1,0,0,10010,1,2,0,4,,3,341,,,99,1,8,1
3571,1972-091,1972-091-01,1972-091-01-01,1972-091-01-01-01,4/16/1973,2,411 U.S. 216,93 S. Ct. 1562,36 L. Ed. 2d 202,1973 U.S. LEXIS 84,1972,1504,Burger,72-805,UNITED STATES v. INDRELUNAS,,,27,,240,,1,,,0,66,,27,,0,12,9,1,1,4,0,1,0,0,90110,9,2,0,4,,4,400,,,99,1,9,0
3573,1972-093,1972-093-01,1972-093-01-01,1972-093-01-01-01,4/17/1973,1,411 U.S. 233,93 S. Ct. 1577,36 L. Ed. 2d 216,1973 U.S. LEXIS 8,1972,1504,Burger,71-6481,DAVIS v. UNITED STATES,2/20/1973,,126,,27,,1,,,0,84,,25,,0,2,2,1,1,2,0,0,0,0,10370,1,1,0,4,3,4,401,,102,99,1,6,3
3574,1972-094,1972-094-01,1972-094-01-01,1972-094-01-01-01,4/17/1973,1,411 U.S. 258,93 S. Ct. 1602,36 L. Ed. 2d 235,1973 U.S. LEXIS 83,1972,1504,Burger,72-95,"TOLLETT, WARDEN v. HENDERSON",2/20/1973,,28,50,126,,1,,,0,117,,26,,0,11,2,2,1,4,0,1,0,0,10030,1,1,0,7,,,,,102,99,1,6,3
3575,1972-095,1972-095-01,1972-095-01-01,1972-095-01-01-01,4/18/1973,1,411 U.S. 279,93 S. Ct. 1614,36 L. Ed. 2d 251,1973 U.S. LEXIS 156,1972,1504,Burger,71-1021,EMPLOYEES OF THE DEPARTMENT OF PUBLIC HEALTH AND WELFARE OF MISSOURI et al. v. DEPARTMENT OF PUBLIC HEALTH AND WELFARE OF MISSOURI et al.,1/15/1973,,8,30,7,30,1,,,0,87,,28,,1,12,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,81,99,1,8,1
3576,1972-096,1972-096-01,1972-096-01-01,1972-096-01-01-01,4/18/1973,1,411 U.S. 325,93 S. Ct. 1590,36 L. Ed. 2d 280,1973 U.S. LEXIS 139,1972,1504,Burger,71-1082,"ASKEW, GOVERNOR OF FLORIDA, et al. v. AMERICAN WATERWAYS OPERATORS, INC., et al.",11/14/1972,,28,12,116,,2,,,1,56,,56,,0,1,,1,1,3,0,1,0,0,80130,8,2,0,4,,6,600,33 U.S.C. § 1161,81,99,1,9,0
3577,1972-097,1972-097-01,1972-097-01-01,1972-097-01-01-01,4/18/1973,1,411 U.S. 345,93 S. Ct. 1571,36 L. Ed. 2d 294,1973 U.S. LEXIS 81,1972,1504,Burger,71-1428,"HENSLEY v. MUNICIPAL COURT, SAN JOSE-MILPITAS JUDICIAL DISTRICT, SANTA CLARA COUNTY",1/15/1973,,126,,6,6,1,,,0,50,,29,,0,12,2,1,1,4,0,1,0,0,10020,1,2,0,4,,3,341,,92,81,1,6,3
3579,1972-099,1972-099-01,1972-099-01-01,1972-099-01-01-01,4/24/1973,1,411 U.S. 389,93 S. Ct. 1670,36 L. Ed. 2d 342,1973 U.S. LEXIS 78,1972,1504,Burger,72-11,PALMORE v. UNITED STATES,2/21/1973,,100,,27,,2,,,0,302,10,300,10,0,1,2,1,1,2,0,0,0,0,90500,9,1,0,1,,1,119,,95,99,1,8,1
3580,1972-100,1972-100-01,1972-100-01-01,1972-100-01-01-01,4/24/1973,1,411 U.S. 423,93 S. Ct. 1637,36 L. Ed. 2d 366,1973 U.S. LEXIS 79,1972,1504,Burger,71-1585,UNITED STATES v. RUSSELL,2/27/1973,,27,,100,,1,,,0,129,,29,,1,12,3,2,1,3,0,1,0,0,10300,1,1,0,7,,,,,102,99,1,5,4
3582,1972-102,1972-102-01,1972-102-01-01,1972-102-01-01-01,5/7/1973,1,411 U.S. 452,93 S. Ct. 1732,36 L. Ed. 2d 420,1973 U.S. LEXIS 71,1972,1504,Burger,71-1583,"BROWN, SECRETARY OF STATE OF CALIFORNIA v. CHOTE",2/22/1973,,28,6,211,,2,,,1,50,,50,,0,1,2,1,1,2,1,1,0,0,90320,9,2,0,3,,,,,99,99,1,9,0
3583,1972-103,1972-103-01,1972-103-01-01,1972-103-01-01-01,5/7/1973,1,411 U.S. 458,93 S. Ct. 1723,36 L. Ed. 2d 426,1973 U.S. LEXIS 7,1972,1504,Burger,72-486,"FEDERAL POWER COMMISSION v. MEMPHIS LIGHT, GAS & WATER DIVISION et al.",3/27/1973,,352,,148,,1,52,,0,32,,32,,0,11,3,1,1,3,0,1,0,0,80310,8,2,0,4,5,6,600,26 U.S.C. § 167,81,99,1,9,0
3584,1972-104,1972-104-01,1972-104-01-01,1972-104-01-01-01,5/7/1973,1,411 U.S. 475,93 S. Ct. 1827,36 L. Ed. 2d 439,1973 U.S. LEXIS 72,1972,1504,Burger,71-1369,"PREISER, CORRECTION COMMISSIONER, et al. v. RODRIGUEZ et al.",1/9/1973,,28,37,215,,1,,,0,95,,22,,1,11,2,2,1,3,0,1,0,0,10020,1,1,0,4,,3,314,,94,99,1,6,3
3585,1972-105,1972-105-01,1972-105-01-01,1972-105-01-01-01,5/7/1973,1,411 U.S. 526,93 S. Ct. 1702,36 L. Ed. 2d 472,1973 U.S. LEXIS 73,1972,1504,Burger,72-75,GEORGIA et al. v. UNITED STATES,2/21/1973,,28,13,27,,2,27,,1,60,,60,,0,1,1,2,1,2,1,0,0,0,20020,2,2,0,4,,3,378,,94,99,1,6,3
3586,1972-106,1972-106-01,1972-106-01-01,1972-106-01-01-01,5/7/1973,1,411 U.S. 564,93 S. Ct. 1689,36 L. Ed. 2d 488,1973 U.S. LEXIS 74,1972,1504,Burger,71-653,GIBSON et al. v. BERRYHILL et al.,1/9/1973,,28,1,177,,2,117,1,1,41,,41,,0,1,3,2,1,5,0,1,0,0,90090,9,1,0,4,,6,600,28 U.S.C. § 2283,95,99,1,9,0
3587,1972-107,1972-107-01,1972-107-01-01,1972-107-01-01-01,5/7/1973,1,411 U.S. 582,93 S. Ct. 1736,36 L. Ed. 2d 503,1973 U.S. LEXIS 75,1972,1504,Burger,71-1059,KERN COUNTY LAND CO. v. OCCIDENTAL PETROLEUM CORP.,12/5/1972,,196,,197,,1,105,,0,96,,22,,0,12,3,1,1,2,0,0,0,0,80120,8,1,0,4,,3,365,,95,99,1,6,3
3589,1972-109,1972-109-01,1972-109-01-01,1972-109-01-01-01,5/7/1973,2,411 U.S. 618,93 S. Ct. 2156,36 L. Ed. 2d 541,1973 U.S. LEXIS 76,1972,1504,Burger,72-6011,GACA v. UNITED STATES,,,126,,27,,1,,,0,,,23,,0,12,9,1,1,5,0,1,0,0,20350,2,2,0,3,,,,,,99,1,7,2
3590,1972-110,1972-110-01,1972-110-01-01,1972-110-01-01-01,5/7/1973,2,411 U.S. 619,93 S. Ct. 1700,36 L. Ed. 2d 543,1973 U.S. LEXIS 77,1972,1504,Burger,72-6258,"NEW JERSEY WELFARE RIGHTS ORGANIZATION et al. v. CAHILL, GOVERNOR OF NEW JERSEY, et al.",,,129,,28,35,1,,,1,92,,92,,0,12,,1,3,4,0,1,0,0,20200,2,2,0,2,,2,231,,,99,1,8,1
3591,1972-111,1972-111-01,1972-111-01-01,1972-111-01-01-01,5/14/1973,1,411 U.S. 624,93 S. Ct. 1854,36 L. Ed. 2d 547,1973 U.S. LEXIS 123,1972,1504,Burger,71-1637,"CITY OF BURBANK et al. v. LOCKHEED AIR TERMINAL, INC., et al.",2/20/1973,,3,6,195,,2,,,0,48,,29,,0,1,2,2,1,2,0,0,0,0,100030,10,2,0,4,,6,600,86 Stat. 1234,81,99,1,5,4
3592,1972-112,1972-112-01,1972-112-01-01,1972-112-01-01-01,5/14/1973,1,411 U.S. 655,93 S. Ct. 1804,36 L. Ed. 2d 567,1973 U.S. LEXIS 140,1972,1504,Burger,72-624,UNITED STATES v. PENNSYLVANIA INDUSTRIAL CHEMICAL CORP.,3/27/1973,,27,,128,,1,6,,0,111,,23,,0,12,3,1,1,5,1,1,0,0,80130,8,2,0,4,,6,600,33 U.S.C. § 401,92,81,1,6,3
3593,1972-113,1972-113-01,1972-113-01-01,1972-113-01-01-01,5/14/1973,7,411 U.S. 677,93 S. Ct. 1764,36 L. Ed. 2d 583,1973 U.S. LEXIS 153,1972,1504,Burger,71-1694,"FRONTIERO ET VIR v. RICHARDSON, SECRETARY OF DEFENSE, et al.",1/17/1973,,186,,324,,2,3,,1,41,,41,,1,1,2,1,2,3,0,1,0,0,20130,2,2,0,1,,2,212,,92,99,1,8,1
3594,1972-114,1972-114-01,1972-114-01-01,1972-114-01-01-01,5/14/1973,1,411 U.S. 693,93 S. Ct. 1785,36 L. Ed. 2d 596,1973 U.S. LEXIS 69,1972,1504,Burger,72-10,MOOR et al. v. COUNTY OF ALAMEDA et al.,2/27/1973,,208,,5,6,1,,,0,50,,29,,0,10,2,1,1,7,0,1,0,0,20400,2,1,0,3,4,3,314,,98,99,1,8,1
3595,1972-115,1972-115-01,1972-115-01-01,1972-115-01-01-01,5/14/1973,1,411 U.S. 726,93 S. Ct. 1773,36 L. Ed. 2d 620,1973 U.S. LEXIS 127,1972,1504,Burger,71-1647,"FEDERAL MARITIME COMMISSION v. SEATRAIN LINES, INC., et al.",3/21/1973,,349,,116,,1,49,,0,32,,32,,0,3,8,2,1,2,0,0,0,0,80230,8,2,0,4,5,6,600,46 U.S.C. § 814,98,99,1,9,0
3597,1972-117,1972-117-01,1972-117-01-01,1972-117-01-01-01,5/14/1973,1,411 U.S. 778,93 S. Ct. 1756,36 L. Ed. 2d 656,1973 U.S. LEXIS 70,1972,1504,Burger,71-1225,"GAGNON, WARDEN v. SCARPELLI",1/9/1973,,28,58,217,,1,117,58,0,132,,27,,0,12,2,2,3,7,0,1,0,0,10120,1,1,0,2,,2,214,,101,99,1,8,1
3598,1972-118,1972-118-01,1972-118-01-01,1972-118-01-01-01,5/14/1973,1,411 U.S. 792,93 S. Ct. 1817,36 L. Ed. 2d 668,1973 U.S. LEXIS 154,1972,1504,Burger,72-490,MCDONNELL DOUGLAS CORP. v. GREEN,3/28/1973,,151,,182,,1,32,,0,86,,28,,0,11,6,2,1,5,0,1,0,0,20060,2,2,0,4,,3,384,,101,99,1,9,0
3599,1972-119,1972-119-01,1972-119-01-01,1972-119-01-01-01,5/21/1973,1,412 U.S. 1,93 S. Ct. 1943,36 L. Ed. 2d 702,1973 U.S. LEXIS 188,1972,1504,Burger,72-630,HALL et al. v. COLE,3/21/1973,,249,,247,,1,,,0,94,,22,,0,11,2,2,1,2,0,0,0,0,60010,6,2,0,4,,3,351,,92,99,1,6,2
3600,1972-120,1972-120-01,1972-120-01-01,1972-120-01-01-01,5/21/1973,1,412 U.S. 17,93 S. Ct. 1977,36 L. Ed. 2d 714,1973 U.S. LEXIS 66,1972,1504,Burger,71-6732,"CHAFFIN v. STYNCHCOMBE, SHERIFF",2/22/1973,,126,,28,13,1,,,0,60,,25,,0,2,2,1,1,2,0,0,0,0,10580,1,1,0,2,,2,215,,101,99,1,5,4
3601,1972-121,1972-121-01,1972-121-01-01,1972-121-01-01-01,5/21/1973,1,412 U.S. 47,93 S. Ct. 1966,36 L. Ed. 2d 736,1973 U.S. LEXIS 67,1972,1504,Burger,71-1005,MICHIGAN v. PAYNE,2/22/1973,,28,27,126,,1,,,0,302,27,300,27,1,11,3,2,1,4,0,1,0,0,10170,1,1,0,2,,2,206,,101,99,1,6,3
3602,1972-122,1972-122-01,1972-122-01-01,1972-122-01-01-01,5/21/1973,1,412 U.S. 67,93 S. Ct. 1952,36 L. Ed. 2d 752,1973 U.S. LEXIS 151,1972,1504,Burger,71-1607,NATIONAL LABOR RELATIONS BOARD v. BOEING CO. et al.,3/26/1973,,382,,151,,1,82,,0,32,,32,,0,12,11,1,1,3,0,1,0,0,70060,7,2,0,4,5,3,356,,102,92,1,6,3
3605,1972-125,1972-125-01,1972-125-01-01,1972-125-01-01-01,5/29/1973,1,412 U.S. 94,93 S. Ct. 2080,36 L. Ed. 2d 772,1973 U.S. LEXIS 4,1972,1504,Burger,71-863,"COLUMBIA BROADCASTING SYSTEM, INC. v. DEMOCRATIC NATIONAL COMMITTEE",10/16/1972,,191,,211,,1,38,,0,32,,32,,1,11,3,2,1,3,0,1,0,0,30010,3,1,0,1,5,2,200,,99,99,1,7,2
3606,1972-126,1972-126-01,1972-126-01-01,1972-126-01-01-01,5/29/1973,1,412 U.S. 205,93 S. Ct. 1993,36 L. Ed. 2d 844,1973 U.S. LEXIS 5,1972,1504,Burger,72-5323,KEEBLE v. UNITED STATES,3/27/1973,,170,,27,,1,,,0,115,,28,,1,12,2,1,1,4,0,1,0,0,20150,2,2,0,4,,6,600,18 U.S.C. § 1153,92,99,1,6,3
3607,1972-127,1972-127-01,1972-127-01-01,1972-127-01-01-01,5/29/1973,1,412 U.S. 218,93 S. Ct. 2041,36 L. Ed. 2d 854,1973 U.S. LEXIS 6,1972,1504,Burger,71-732,"SCHNECKLOTH, CONSERVATION CENTER SUPERINTENDENT v. BUSTAMONTE",10/10/1972,,28,6,100,,1,,,0,50,,29,,0,11,3,2,1,3,0,1,0,0,10060,1,1,0,2,,2,205,,94,99,1,6,3
3611,1972-131,1972-131-01,1972-131-01-01,1972-131-01-01-01,6/4/1973,1,412 U.S. 363,93 S. Ct. 2183,37 L. Ed. 2d 1,1973 U.S. LEXIS 126,1972,1504,Burger,72-350,UNITED STATES v. STATE TAX COMMISSION OF MISSISSIPPI et al.,3/19/1973,,27,,4,29,2,117,29,1,85,,85,,0,1,9,1,1,5,0,1,0,0,100110,10,2,0,2,,2,237,,98,99,1,7,2
3612,1972-132,1972-132-01,1972-132-01-01,1972-132-01-01-01,6/4/1973,1,412 U.S. 391,93 S. Ct. 2202,37 L. Ed. 2d 22,1973 U.S. LEXIS 186,1972,1504,Burger,72-654,"UNITED STATES v. MASON, ADMINISTRATOR, et al.",4/18/1973,,27,,170,,1,,,0,3,,3,,0,4,,2,1,3,0,1,0,0,80060,8,2,0,7,,,,,98,99,1,9,0
3613,1972-133,1972-133-01,1972-133-01-01,1972-133-01-01-01,6/4/1973,1,412 U.S. 401,93 S. Ct. 2169,37 L. Ed. 2d 30,1973 U.S. LEXIS 14,1972,1504,Burger,72-90,"UNITED STATES v. CHICAGO, BURLINGTON & QUINCY RAILROAD CO.",2/26/1973,,27,,231,,1,,,0,3,,3,,1,11,,1,1,4,0,1,0,0,120010,12,2,0,4,,3,345,,100,99,1,6,2
3614,1972-134,1972-134-01,1972-134-01-01,1972-134-01-01-01,6/4/1973,2,412 U.S. 427,93 S. Ct. 2201,37 L. Ed. 2d 48,1973 U.S. LEXIS 61,1972,1504,Burger,72-1164,NORTHCROSS et al. v. BOARD OF EDUCATION OF THE MEMPHIS CITY SCHOOLS et al.,,,111,,21,50,1,,,0,118,,26,,0,12,,1,1,5,0,1,0,0,60010,6,2,0,4,,6,600,20 U.S.C. § 1617,,99,1,8,0
3615,1972-135,1972-135-01,1972-135-01-01,1972-135-01-01-01,6/4/1973,2,412 U.S. 430,93 S. Ct. 2199,37 L. Ed. 2d 52,1973 U.S. LEXIS 62,1972,1504,Burger,72-6198,"DOUGLAS v. BUDER, JUDGE",,,217,,16,30,1,,,0,302,30,300,30,1,12,9,1,1,4,0,1,0,0,40010,4,2,0,2,,2,230,,,99,1,8,0
3616,1972-136,1972-136-01,1972-136-01-01,1972-136-01-01-01,6/11/1973,1,412 U.S. 434,93 S. Ct. 2260,37 L. Ed. 2d 56,1973 U.S. LEXIS 54,1972,1504,Burger,72-5521,"STRUNK, AKA WAGNER v. UNITED STATES",4/24/1973,,100,,27,,1,,,0,153,,27,,0,11,3,1,1,4,0,1,0,0,10590,1,2,0,1,,2,216,,99,99,1,9,0
3617,1972-137,1972-137-01,1972-137-01-01,1972-137-01-01-01,6/11/1973,1,412 U.S. 441,93 S. Ct. 2230,37 L. Ed. 2d 63,1973 U.S. LEXIS 55,1972,1504,Burger,72-493,VLANDIS v. KLINE et al.,3/20/1973,,26,8,239,,2,117,8,1,53,,53,,0,1,3,2,3,2,0,0,0,0,40010,4,2,0,2,,2,230,,94,92,1,6,3
3618,1972-138,1972-138-01,1972-138-01-01,1972-138-01-01-01,6/11/1973,1,412 U.S. 470,93 S. Ct. 2208,37 L. Ed. 2d 82,1973 U.S. LEXIS 56,1972,1504,Burger,71-6042,WARDIUS v. OREGON,1/10/1973,,100,,28,43,1,,,0,302,43,301,43,0,12,2,1,3,4,0,1,0,0,10090,1,2,0,2,,2,230,,98,99,1,9,0
3620,1972-140,1972-140-01,1972-140-01-01,1972-140-01-01-01,6/11/1973,1,412 U.S. 507,93 S. Ct. 2222,37 L. Ed. 2d 109,1973 U.S. LEXIS 58,1972,1504,Burger,72-658,CITY OF KENOSHA et al. v. BRUNO et al.,4/18/1973,,3,58,115,,2,117,58,1,132,,132,,0,1,,2,1,5,0,1,0,0,90320,9,1,0,4,,3,314,,102,99,1,9,0
3622,1972-142,1972-142-01,1972-142-01-01,1972-142-01-01-01,6/11/1973,6,412 U.S. 534,93 S. Ct. 2763,37 L. Ed. 2d 132,1973 U.S. LEXIS 59,1972,1504,Burger,59 ORIG,UNITED STATES v. NEVADA et al.,4/16/1973,,27,,28,33,9,,,0,,,,,0,1,,,1,,0,0,0,0,90370,9,1,0,3,,,,,,99,1,8,1
3623,1972-143,1972-143-01,1972-143-01-01,1972-143-01-01-01,6/11/1973,2,412 U.S. 543,93 S. Ct. 2264,37 L. Ed. 2d 137,1973 U.S. LEXIS 60,1972,1504,Burger,72-1310,DEAN v. GADSDEN TIMES PUBLISHING CORP.,,,145,,151,,1,,,0,302,1,301,1,0,11,3,1,1,3,0,1,0,0,40070,4,2,0,2,,2,211,,,99,1,9,0
3624,1972-144,1972-144-01,1972-144-01-01,1972-144-01-01-01,6/11/1973,5,412 U.S. 541,93 S. Ct. 2770,37 L. Ed. 2d 140,1973 U.S. LEXIS 122,1972,1504,Burger,72-804,"FRI, ACTING ADMINISTRATOR, ENVIRONMENTAL PROTECTION AGENCY v. SIERRA CLUB et al.",4/18/1973,,333,,150,,1,,,0,55,,32,,0,12,,3,1,2,0,0,0,0,80130,8,3,0,3,,,,,,,1,4,4
3626,1972-146,1972-146-01,1972-146-01-01,1972-146-01-01-01,6/18/1973,1,412 U.S. 580,93 S. Ct. 2389,37 L. Ed. 2d 187,1973 U.S. LEXIS 125,1972,1504,Burger,71-1459,"UNITED STATES v. LITTLE LAKE MISERE LAND CO., INC., et al.",1/15/1973,,27,,187,,1,,,0,77,,25,,0,11,2,1,1,4,0,1,0,0,100130,10,2,0,7,,,,,99,99,1,9,0
3627,1972-147,1972-147-01,1972-147-01-01,1972-147-01-01-01,6/18/1973,1,412 U.S. 609,93 S. Ct. 2469,37 L. Ed. 2d 207,1973 U.S. LEXIS 49,1972,1504,Burger,72-394,"WEINBERGER, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, et al. v. HYNSON, WESTCOTT & DUNNING, INC.",4/17/1973,,362,,143,,1,40,,0,24,,24,,0,12,3,2,1,2,0,0,0,0,80170,8,2,0,4,5,3,332,,81,99,1,7,0
3628,1972-148,1972-148-01,1972-148-01-01,1972-148-01-01-01,6/18/1973,1,412 U.S. 640,93 S. Ct. 2495,37 L. Ed. 2d 230,1973 U.S. LEXIS 50,1972,1504,Burger,72-528,"CIBA CORP. v. WEINBERGER, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, et al.",4/17/1973,,143,,362,,1,40,,0,92,,23,,0,12,2,2,1,2,0,0,0,0,80170,8,2,0,4,5,3,332,,81,99,1,7,0
3629,1972-149,1972-149-01,1972-149-01-01,1972-149-01-01-01,6/18/1973,1,412 U.S. 645,93 S. Ct. 2488,37 L. Ed. 2d 235,1973 U.S. LEXIS 1,1972,1504,Burger,72-555,"WEINBERGER, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, et al. v. BENTEX PHARMACEUTICALS, INC., et al.",4/17/1973,,362,,143,,1,40,,0,114,,24,,0,12,4,1,1,3,0,1,0,0,80170,8,2,0,4,5,3,332,,81,99,1,7,0
3630,1972-150,1972-150-01,1972-150-01-01,1972-150-01-01-01,6/18/1973,1,412 U.S. 655,93 S. Ct. 2498,37 L. Ed. 2d 244,1973 U.S. LEXIS 51,1972,1504,Burger,72-666,"USV PHARMACEUTICAL CORP. v. WEINBERGER, SECRETARY OF HEALTH, EDUCATION, AND WELFARE, et al.",4/17/1973,,143,,362,,1,,,0,126,,24,,0,12,3,2,1,2,0,0,0,0,80170,8,2,0,4,,3,332,,81,99,1,7,0
3631,1972-151,1972-151-01,1972-151-01-01,1972-151-01-01-01,6/18/1973,1,412 U.S. 669,93 S. Ct. 2405,37 L. Ed. 2d 254,1973 U.S. LEXIS 20,1972,1504,Burger,72-535,UNITED STATES et al. v. STUDENTS CHALLENGING REGULATORY AGENCY PROCEDURES (SCRAP) et al.,2/28/1973,,366,,150,,2,66,,1,55,,55,,0,1,1,2,1,4,0,1,0,0,80130,8,1,0,4,3,3,354,,94,99,1,6,2
3632,1972-152,1972-152-01,1972-152-01-01,1972-152-01-01-01,6/18/1973,1,412 U.S. 735,93 S. Ct. 2321,37 L. Ed. 2d 298,1973 U.S. LEXIS 52,1972,1504,Burger,71-1476,GAFFNEY v. CUMMINGS et al.,2/26/1973,,211,,251,,2,117,8,1,53,,53,,0,1,,2,1,3,0,1,0,0,20090,2,1,0,2,,2,231,,95,99,1,6,3
3633,1972-153,1972-153-01,1972-153-01-01,1972-153-01-01-01,6/18/1973,1,412 U.S. 755,93 S. Ct. 2332,37 L. Ed. 2d 314,1973 U.S. LEXIS 2,1972,1504,Burger,72-147,"WHITE, SECRETARY OF STATE OF TEXAS, et al. v. REGESTER et al.",2/26/1973,,28,51,251,,2,117,51,1,122,,122,,0,1,,2,3,6,0,1,0,0,20090,2,1,0,2,,2,231,,95,99,1,6,3
3634,1972-154,1972-154-01,1972-154-01-01,1972-154-01-01-01,6/18/1973,1,412 U.S. 783,93 S. Ct. 2348,37 L. Ed. 2d 335,1973 U.S. LEXIS 3,1972,1504,Burger,71-1623,"WHITE, SECRETARY OF STATE OF TEXAS v. WEISER et al.",2/26/1973,,28,51,251,,2,,,1,120,,120,,0,1,,2,3,7,0,1,0,0,20090,2,2,0,2,,1,102,,95,99,1,9,0
3635,1972-155,1972-155-01,1972-155-01-01,1972-155-01-01-01,6/18/1973,7,412 U.S. 800,93 S. Ct. 2367,37 L. Ed. 2d 350,1973 U.S. LEXIS 144,1972,1504,Burger,72-214,"ATCHISON, TOPEKA & SANTA FE RAILWAY CO. et al. v. WICHITA BOARD OF TRADE et al.",2/28/1973,,231,,234,,2,66,,1,72,,72,,0,1,5,1,1,6,0,1,0,0,80220,8,2,0,3,,,,,98,99,1,5,3
3636,1972-156,1972-156-01,1972-156-01-01,1972-156-01-01-01,6/18/1973,1,412 U.S. 837,93 S. Ct. 2357,37 L. Ed. 2d 380,1973 U.S. LEXIS 53,1972,1504,Burger,72-5443,BARNES v. UNITED STATES,3/20/1973,,100,,27,,1,,,0,48,,29,,0,11,2,1,1,2,0,0,0,0,40010,4,1,0,1,,2,207,,101,99,1,6,3
3637,1972-157,1972-157-01,1972-157-01-01,1972-157-01-01-01,6/21/1973,1,413 U.S. 1,93 S. Ct. 2440,37 L. Ed. 2d 407,1973 U.S. LEXIS 39,1972,1504,Burger,71-1553,"GILLIGAN, GOVERNOR OF OHIO, et al. v. MORGAN et al.",3/19/1973,,28,41,239,,1,,,0,103,,26,,1,11,7,2,1,3,0,1,0,0,90250,9,1,0,1,,1,139,,99,99,1,9,0
3638,1972-158,1972-158-01,1972-158-01-01,1972-158-01-01-01,6/21/1973,1,413 U.S. 15,93 S. Ct. 2607,37 L. Ed. 2d 419,1973 U.S. LEXIS 149,1972,1504,Burger,70-73,MILLER v. CALIFORNIA,1/18/1972,11/7/1972,101,,28,6,2,,,0,302,6,302,6,0,1,2,1,1,5,0,1,1,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
3639,1972-159,1972-159-01,1972-159-01-01,1972-159-01-01-01,6/21/1973,1,413 U.S. 49,93 S. Ct. 2628,37 L. Ed. 2d 446,1973 U.S. LEXIS 19,1972,1504,Burger,71-1051,"PARIS ADULT THEATRE I et al. v. SLATON, DISTRICT ATTORNEY, et al.",10/19/1972,,156,,28,13,1,,,0,302,13,300,13,0,12,3,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
3640,1972-160,1972-160-01,1972-160-01-01,1972-160-01-01-01,6/21/1973,1,413 U.S. 115,93 S. Ct. 2680,37 L. Ed. 2d 492,1973 U.S. LEXIS 40,1972,1504,Burger,71-1422,KAPLAN v. CALIFORNIA,10/19/1972,,117,,28,6,1,,,0,302,6,301,6,0,11,2,1,1,5,0,1,0,0,30190,3,1,1,2,,2,200,,99,99,1,5,4
3642,1972-162,1972-162-01,1972-162-01-01,1972-162-01-01-01,6/21/1973,1,413 U.S. 139,93 S. Ct. 2674,37 L. Ed. 2d 513,1973 U.S. LEXIS 41,1972,1504,Burger,70-69,UNITED STATES v. ORITO,1/19/1972,11/7/1972,27,,156,,2,,,0,132,,132,,0,1,,2,1,5,0,1,0,0,30200,3,1,0,1,,2,200,,99,99,1,5,4
3643,1972-163,1972-163-01,1972-163-01-01,1972-163-01-01-01,6/21/1973,1,413 U.S. 149,93 S. Ct. 2448,37 L. Ed. 2d 522,1973 U.S. LEXIS 42,1972,1504,Burger,71-1442,"COLGROVE v. BATTIN, U.S. DISTRICT JUDGE",1/17/1973,,174,,16,60,1,,,0,88,,29,,0,12,9,1,1,2,0,0,0,0,90110,9,1,0,1,,2,218,,92,99,1,5,4
3644,1972-164,1972-164-01,1972-164-01-01,1972-164-01-01-01,6/21/1973,1,413 U.S. 189,93 S. Ct. 2686,37 L. Ed. 2d 548,1973 U.S. LEXIS 43,1972,1504,Burger,71-507,"KEYES et al. v. SCHOOL DISTRICT NO. 1, DENVER, COLORADO, et al.",10/12/1972,,222,,21,7,1,117,7,0,52,,30,,0,11,6,1,1,5,0,1,0,0,20050,2,2,0,2,,2,231,,92,99,1,7,1
3645,1972-165,1972-165-01,1972-165-01-01,1972-165-01-01-01,6/21/1973,1,413 U.S. 266,93 S. Ct. 2535,37 L. Ed. 2d 596,1973 U.S. LEXIS 44,1972,1504,Burger,71-6278,ALMEIDA-SANCHEZ v. UNITED STATES,3/19/1973,,100,,27,,1,,,0,51,,29,,0,11,2,1,1,3,0,1,0,0,10060,1,2,0,1,,2,205,,94,81,1,5,4
3646,1972-166,1972-166-01,1972-166-01-01,1972-166-01-01-01,6/21/1973,1,413 U.S. 300,93 S. Ct. 2568,37 L. Ed. 2d 619,1973 U.S. LEXIS 45,1972,1504,Burger,71-1255,UNITED STATES v. ASH,1/10/1973,,27,,100,,1,,,0,55,,32,,1,3,3,2,1,4,0,1,0,0,10150,1,1,0,1,,2,214,,100,99,1,6,3
